Player,Team,Pos,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/40,Salary,Seas_Played,Plyd_2024,Awards_2024
Kelsey Plum,LAS,G,43,1508,18.1,0.578,0.502,0.451,0.395,0.8,5.2,27.9,1.8,0.2,15.3,25.4,111,114,4.1,0,4.2,0.11,202000,8,1,0
Kennedy Burke,NYL,G-F,36,779,13.9,0.602,0.573,0.509,0.248,3.3,6.3,9.5,1.8,1.9,12.3,16.4,110,106,1.2,0.9,2.1,0.109,78831,6,1,0
Kia Nurse,CHI,G,44,962,7.1,0.496,0.459,0.625,0.213,2.2,6.3,9.6,0.8,0.2,14.7,17.4,95,117,-0.2,-0.4,-0.6,-0.025,145000,8,1,0
Kiah Stokes,LVA,C,40,514,7.2,0.404,0.382,0.451,0.157,6.6,16.4,4.7,1.7,2.4,22.7,6.3,92,102,-0.1,0.9,0.8,0.061,103000,8,1,0
Kiana Williams,PHO,G,11,107,11.9,0.539,0.538,0.65,0.1,0,5.9,16,1.4,0,12.6,20.1,100,106,0,0.1,0.2,0.06,33873,4,1,0
Kierstan Bell,LVA,F,35,427,10.3,0.455,0.435,0.669,0.097,5.4,8.5,8.7,1.7,2.3,9.6,19,95,106,-0.1,0.5,0.3,0.031,84543,4,1,0
Kiki Iriafen,WAS,F,44,1185,17.3,0.548,0.49,0.024,0.387,11.8,19.5,11.4,1.1,0.6,15.3,24.5,104,105,1.5,1.5,3,0.102,78831,1,0,0
Kitija Laksa,PHO,G,33,626,7.4,0.505,0.472,0.667,0.178,2,3.7,5.3,1,0.9,8.9,15.3,99,109,0.2,0.5,0.6,0.04,80000,1,0,0
Kyara Linskens,GSV,C,4,27,5,0.4,0.4,0.2,0,4.4,13,6.3,2,11.7,28.6,12.1,69,94,-0.1,0.1,0,0.017,14437,1,0,0
Kyra Lambert,IND,G,1,0,,,,,,,,,,,,,,,0,0,0,,3887,1,0,0
